PACKAGE_NAME,Risk,Forced Risk High (Preinstall),PROB_MALICIOUS,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10
@accordproject@template-engine,HIGH,Yes (F1_hook_preinstall),0,A1_command_variable; lin=0.36530; quad=-16.31073; raw=-15.94543; share=43.41%; severity=0.00% (=share*prob),F1_optionalDependencies; lin=0.65429; quad=-4.19706; raw=-3.54277; share=9.64%; severity=0.00% (=share*prob),C2_total_hits; lin=1.32811; quad=1.25795; raw=2.58606; share=7.04%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=6.94%; severity=0.00% (=share*prob),C2_cloud_auth; lin=0.97529; quad=-2.53011; raw=-1.55481; share=4.23%; severity=0.00% (=share*prob),E2_bin_ge_1000000; lin=0.57722; quad=-1.76006; raw=-1.18284; share=3.22%; severity=0.00% (=share*prob),E2_ext_ge_100000; lin=0.51130; quad=-1.44539; raw=-0.93408; share=2.54%; severity=0.00% (=share*prob),A2_decode_variable; lin=-0.85524; quad=0.01314; raw=-0.84210; share=2.29%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=0.63364; quad=0.20174; raw=0.83538; share=2.27%; severity=0.00% (=share*prob),D1_publish; lin=-0.87358; quad=0.04141; raw=-0.83217; share=2.27%; severity=0.00% (=share*prob)
@asyncapi@studio,HIGH,"Yes (F1_hook_preinstall) with potential package/script manipulation (D2_pkg_json_write, D2_scripts_field_touch)",0,B2_total_providers; lin=15.26399; quad=-124.97409; raw=-109.71011; share=35.65%; severity=0.00% (=share*prob),C1_domain_url_hits; lin=-0.26205; quad=-26.98755; raw=-27.24960; share=8.85%; severity=0.00% (=share*prob),C1_valid_url_hits; lin=-0.25914; quad=-26.98545; raw=-27.24459; share=8.85%; severity=0.00% (=share*prob),B2_total_events; lin=8.24484; quad=17.65294; raw=25.89778; share=8.42%; severity=0.00% (=share*prob),B2_OTHER; lin=8.24484; quad=17.65294; raw=25.89778; share=8.42%; severity=0.00% (=share*prob),C1_raw_url_hits; lin=-0.18216; quad=-25.65952; raw=-25.84168; share=8.40%; severity=0.00% (=share*prob),C2_total_hits; lin=3.37676; quad=8.13191; raw=11.50867; share=3.74%; severity=0.00% (=share*prob),A3_OTHER; lin=1.01451; quad=7.41521; raw=8.42972; share=2.74%; severity=0.00% (=share*prob),C3_net_fetch; lin=1.47939; quad=-9.88641; raw=-8.40702; share=2.73%; severity=0.00% (=share*prob),C2_cloud_auth; lin=1.88410; quad=-9.44226; raw=-7.55816; share=2.46%; severity=0.00% (=share*prob)
@mcp-use@inspector,HIGH,Yes (F1_hook_preinstall),0,B2_total_providers; lin=7.55898; quad=-30.64859; raw=-23.08961; share=27.71%; severity=0.00% (=share*prob),C2_total_hits; lin=3.11242; quad=6.90857; raw=10.02099; share=12.03%; severity=0.00% (=share*prob),C3_net_fetch; lin=1.59208; quad=-11.44994; raw=-9.85786; share=11.83%; severity=0.00% (=share*prob),C2_cloud_auth; lin=1.98508; quad=-10.48150; raw=-8.49642; share=10.20%; severity=0.00% (=share*prob),B2_total_events; lin=2.13724; quad=1.18621; raw=3.32345; share=3.99%; severity=0.00% (=share*prob),B2_OTHER; lin=2.13724; quad=1.18621; raw=3.32345; share=3.99%; severity=0.00% (=share*prob),A3_OTHER; lin=0.57892; quad=2.41456; raw=2.99348; share=3.59%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=3.06%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.10228; quad=-2.17703; raw=-2.27931; share=2.74%; severity=0.00% (=share*prob),A2_decode_variable; lin=-2.24919; quad=0.09089; raw=-2.15830; share=2.59%; severity=0.00% (=share*prob)
@posthog@variance-plugin,HIGH,"Yes (F1_hook_preinstall) with potential package/script manipulation (D2_pkg_json_write, D2_scripts_field_touch)",0,C3_net_node_dns_module; lin=0.33853; quad=-16.97843; raw=-16.63990; share=34.97%; severity=0.00% (=share*prob),C3_net_node_http_module; lin=5.41785; quad=-0.51848; raw=4.89937; share=10.30%; severity=0.00% (=share*prob),D1_total_hits; lin=-0.24578; quad=-3.16069; raw=-3.40647; share=7.16%; severity=0.00% (=share*prob),C2_total_hits; lin=1.39420; quad=1.38625; raw=2.78045; share=5.84%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=5.36%; severity=0.00% (=share*prob),combo4b_scripts_install; lin=0.54091; quad=-2.62511; raw=-2.08420; share=4.38%; severity=0.00% (=share*prob),D1_publish; lin=-1.82222; quad=0.18017; raw=-1.64205; share=3.45%; severity=0.00% (=share*prob),C2_cloud_auth; lin=0.97529; quad=-2.53011; raw=-1.55481; share=3.27%; severity=0.00% (=share*prob),combo5a_secrets_highrisk_exfil; lin=0.79867; quad=0.67680; raw=1.47546; share=3.10%; severity=0.00% (=share*prob),E2_bin_ge_1000000; lin=0.57722; quad=-1.76006; raw=-1.18284; share=2.49%; severity=0.00% (=share*prob)
@posthog@wizard,HIGH,Yes (F1_hook_preinstall),0,C3_proc_child_exec; lin=0.92044; quad=-205.95866; raw=-205.03822; share=86.31%; severity=0.00% (=share*prob),A1_command_variable; lin=0.36530; quad=-16.31073; raw=-15.94543; share=6.71%; severity=0.00% (=share*prob),C2_total_hits; lin=1.32811; quad=1.25795; raw=2.58606; share=1.09%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=1.07%; severity=0.00% (=share*prob),C2_cloud_auth; lin=0.97529; quad=-2.53011; raw=-1.55481; share=0.65%; severity=0.00% (=share*prob),E2_bin_ge_1000000; lin=0.57722; quad=-1.76006; raw=-1.18284; share=0.50%; severity=0.00% (=share*prob),E2_ext_ge_100000; lin=0.51130; quad=-1.44539; raw=-0.93408; share=0.39%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=0.63364; quad=0.20174; raw=0.83538; share=0.35%; severity=0.00% (=share*prob),D1_publish; lin=-0.87358; quad=0.04141; raw=-0.83217; share=0.35%; severity=0.00% (=share*prob),A3_OTHER; lin=0.24892; quad=0.44639; raw=0.69531; share=0.29%; severity=0.00% (=share*prob)
@postman@aether-icons,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=24.51%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.93%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.37%; severity=0.00% (=share*prob),A3_OTHER; lin=0.80331; quad=4.64921; raw=5.45252; share=6.40%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=6.02%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.68%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.50%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.99%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.77%; severity=0.00% (=share*prob),B2_OTHER; lin=1.58201; quad=0.64994; raw=2.23195; share=2.62%; severity=0.00% (=share*prob)
@postman@final-node-keytar,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=24.49%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.91%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.36%; severity=0.00% (=share*prob),A3_OTHER; lin=0.80331; quad=4.64921; raw=5.45252; share=6.40%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=6.01%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.67%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.50%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.99%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.76%; severity=0.00% (=share*prob),B2_total_events; lin=1.58201; quad=0.64994; raw=2.23195; share=2.62%; severity=0.00% (=share*prob)
@postman@mcp-ui-client,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=23.91%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.47%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.05%; severity=0.00% (=share*prob),A3_OTHER; lin=0.80331; quad=4.64921; raw=5.45252; share=6.25%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=5.87%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.54%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.39%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.92%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.70%; severity=0.00% (=share*prob),B2_total_events; lin=1.58201; quad=0.64994; raw=2.23195; share=2.56%; severity=0.00% (=share*prob)
@postman@node-keytar,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=24.49%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.91%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.36%; severity=0.00% (=share*prob),A3_OTHER; lin=0.80331; quad=4.64921; raw=5.45252; share=6.40%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=6.01%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.67%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.50%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.99%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.76%; severity=0.00% (=share*prob),B2_total_events; lin=1.58201; quad=0.64994; raw=2.23195; share=2.62%; severity=0.00% (=share*prob)
@postman@pm-bin-linux-x64,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=24.50%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.93%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.37%; severity=0.00% (=share*prob),A3_OTHER; lin=0.80331; quad=4.64921; raw=5.45252; share=6.40%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=6.02%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.68%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.50%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.99%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.77%; severity=0.00% (=share*prob),B2_OTHER; lin=1.58201; quad=0.64994; raw=2.23195; share=2.62%; severity=0.00% (=share*prob)
@postman@pm-bin-macos-arm64,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=24.50%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.93%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.37%; severity=0.00% (=share*prob),A3_OTHER; lin=0.80331; quad=4.64921; raw=5.45252; share=6.40%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=6.02%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.68%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.50%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.99%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.77%; severity=0.00% (=share*prob),B2_OTHER; lin=1.58201; quad=0.64994; raw=2.23195; share=2.62%; severity=0.00% (=share*prob)
@postman@pm-bin-macos-x64,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=24.50%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.93%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.37%; severity=0.00% (=share*prob),A3_OTHER; lin=0.80331; quad=4.64921; raw=5.45252; share=6.40%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=6.02%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.68%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.50%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.99%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.77%; severity=0.00% (=share*prob),B2_OTHER; lin=1.58201; quad=0.64994; raw=2.23195; share=2.62%; severity=0.00% (=share*prob)
@postman@pm-bin-windows-x64,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=24.50%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.93%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.37%; severity=0.00% (=share*prob),A3_OTHER; lin=0.80331; quad=4.64921; raw=5.45252; share=6.40%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=6.02%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.68%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.50%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.99%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.77%; severity=0.00% (=share*prob),B2_OTHER; lin=1.58201; quad=0.64994; raw=2.23195; share=2.62%; severity=0.00% (=share*prob)
@postman@postman-collection-fork,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=24.12%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.63%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.16%; severity=0.00% (=share*prob),A3_OTHER; lin=0.88251; quad=5.61114; raw=6.49365; share=7.51%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=5.92%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.59%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.43%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.95%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.72%; severity=0.00% (=share*prob),B2_total_events; lin=1.58201; quad=0.64994; raw=2.23195; share=2.58%; severity=0.00% (=share*prob)
@postman@pretty-ms,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=24.48%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.91%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.36%; severity=0.00% (=share*prob),A3_OTHER; lin=0.80331; quad=4.64921; raw=5.45252; share=6.40%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=6.01%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.67%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.50%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.99%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.76%; severity=0.00% (=share*prob),B2_total_events; lin=1.58201; quad=0.64994; raw=2.23195; share=2.62%; severity=0.00% (=share*prob)
@postman@secret-scanner-wasm,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=24.46%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.89%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.35%; severity=0.00% (=share*prob),A3_OTHER; lin=0.80331; quad=4.64921; raw=5.45252; share=6.39%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=6.00%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.67%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.49%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.99%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.76%; severity=0.00% (=share*prob),B2_total_events; lin=1.58201; quad=0.64994; raw=2.23195; share=2.62%; severity=0.00% (=share*prob)
@postman@wdio-allure-reporter,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=24.43%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.87%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.33%; severity=0.00% (=share*prob),A3_OTHER; lin=0.80331; quad=4.64921; raw=5.45252; share=6.38%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=6.00%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.66%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.49%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.98%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.76%; severity=0.00% (=share*prob),B2_total_events; lin=1.58201; quad=0.64994; raw=2.23195; share=2.61%; severity=0.00% (=share*prob)
@postman@wdio-junit-reporter,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=24.49%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.91%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.36%; severity=0.00% (=share*prob),A3_OTHER; lin=0.80331; quad=4.64921; raw=5.45252; share=6.40%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=6.01%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.67%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.50%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.99%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.76%; severity=0.00% (=share*prob),B2_total_events; lin=1.58201; quad=0.64994; raw=2.23195; share=2.62%; severity=0.00% (=share*prob)
bidirectional-adapter,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=24.48%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.91%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.36%; severity=0.00% (=share*prob),A3_OTHER; lin=0.80331; quad=4.64921; raw=5.45252; share=6.40%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=6.01%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.67%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.50%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.99%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.76%; severity=0.00% (=share*prob),B2_total_events; lin=1.58201; quad=0.64994; raw=2.23195; share=2.62%; severity=0.00% (=share*prob)
composite-reducer,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=24.48%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.91%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.36%; severity=0.00% (=share*prob),A3_OTHER; lin=0.80331; quad=4.64921; raw=5.45252; share=6.40%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=6.01%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.67%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.50%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.99%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.76%; severity=0.00% (=share*prob),B2_total_events; lin=1.58201; quad=0.64994; raw=2.23195; share=2.62%; severity=0.00% (=share*prob)
dialogflow-es,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=4.00465; quad=-42.65763; raw=-38.65298; share=26.74%; severity=0.00% (=share*prob),C2_total_hits; lin=5.49150; quad=21.50666; raw=26.99815; share=18.68%; severity=0.00% (=share*prob),B2_total_providers; lin=7.55898; quad=-30.64859; raw=-23.08961; share=15.97%; severity=0.00% (=share*prob),A3_OTHER; lin=1.08051; quad=8.41139; raw=9.49190; share=6.57%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.20671; quad=-8.89154; raw=-9.09825; share=6.29%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=1.05178; quad=-10.05294; raw=-9.00116; share=6.23%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=2.59427; quad=3.38176; raw=5.97602; share=4.13%; severity=0.00% (=share*prob),B2_total_events; lin=2.13724; quad=1.18621; raw=3.32345; share=2.30%; severity=0.00% (=share*prob),B2_OTHER; lin=2.13724; quad=1.18621; raw=3.32345; share=2.30%; severity=0.00% (=share*prob),D1_publish; lin=-3.71950; quad=0.75068; raw=-2.96882; share=2.05%; severity=0.00% (=share*prob)
email-deliverability-tester,HIGH,Yes (F1_hook_preinstall),0,C3_net_node_dns_module; lin=0.33853; quad=-16.97843; raw=-16.63990; share=46.45%; severity=0.00% (=share*prob),C2_total_hits; lin=1.32811; quad=1.25795; raw=2.58606; share=7.22%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=7.12%; severity=0.00% (=share*prob),C2_cloud_auth; lin=0.97529; quad=-2.53011; raw=-1.55481; share=4.34%; severity=0.00% (=share*prob),combo5a_secrets_highrisk_exfil; lin=0.79867; quad=0.67680; raw=1.47546; share=4.12%; severity=0.00% (=share*prob),E2_bin_ge_1000000; lin=0.57722; quad=-1.76006; raw=-1.18284; share=3.30%; severity=0.00% (=share*prob),E2_ext_ge_100000; lin=0.51130; quad=-1.44539; raw=-0.93408; share=2.61%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=0.63364; quad=0.20174; raw=0.83538; share=2.33%; severity=0.00% (=share*prob),D1_publish; lin=-0.87358; quad=0.04141; raw=-0.83217; share=2.32%; severity=0.00% (=share*prob),B1_total_refs; lin=0.56695; quad=0.20990; raw=0.77684; share=2.17%; severity=0.00% (=share*prob)
gate-evm-check-code2,HIGH,Yes (F1_hook_preinstall),0,C2_cloud_auth; lin=2.99486; quad=-23.85734; raw=-20.86248; share=24.49%; severity=0.00% (=share*prob),C2_total_hits; lin=4.10370; quad=12.01001; raw=16.11371; share=18.91%; severity=0.00% (=share*prob),B2_total_providers; lin=5.63273; quad=-17.01852; raw=-11.38579; share=13.36%; severity=0.00% (=share*prob),A3_OTHER; lin=0.80331; quad=4.64921; raw=5.45252; share=6.40%; severity=0.00% (=share*prob),C1_LOCALHOST; lin=-0.15450; quad=-4.96698; raw=-5.12148; share=6.01%; severity=0.00% (=share*prob),C1_ip_url_hits; lin=0.78647; quad=-5.62086; raw=-4.83439; share=5.67%; severity=0.00% (=share*prob),C1_CLOUD_METADATA; lin=1.94072; quad=1.89252; raw=3.83324; share=4.50%; severity=0.00% (=share*prob),combo6a_worm_strong; lin=0.87933; quad=1.66961; raw=2.54894; share=2.99%; severity=0.00% (=share*prob),D1_publish; lin=-2.77086; quad=0.41659; raw=-2.35426; share=2.76%; severity=0.00% (=share*prob),B2_total_events; lin=1.58201; quad=0.64994; raw=2.23195; share=2.62%; severity=0.00% (=share*prob)
